Código do Município (IBGE);Município;Ano;População Total Urbana;Volume de esgoto produzido - 1000 m³;Volume de esgotos coletado - 1000 m³;Volume de esgotos tratado - 1000 m³
5209101.0;Goiatuba;1992;29717;1410.07;0.0;0.0
5209150.0;Gouvelândia;1992;3635;172.48;0.0;0.0
5209200.0;Guapó;1992;10740;509.61;0.0;0.0
5209291.0;Guaraíta;1992;2468;117.11;0.0;0.0
5209408.0;Guarani de Goiás;1992;5200;246.74;0.0;0.0
5209457.0;Guarinos;1992;3388;160.76;0.0;0.0
5209606.0;Heitoraí;1992;2662;126.31;0.0;0.0
5209705.0;Hidrolândia;1992;9345;443.42;0.0;0.0
5209804.0;Hidrolina;1992;4508;213.9;0.0;0.0
5209903.0;Iaciara;1992;8893;421.97;0.0;0.0
5209937.0;Inaciolândia;1992;4533;215.09;0.0;0.0
5209952.0;Indiara;1992;9161;434.69;0.0;0.0
5210000.0;Inhumas;1992;35009;1661.18;0.0;0.0
5210109.0;Ipameri;1992;18787;891.44;0.0;0.0
5210158.0;Ipiranga de Goiás;1992;0;0.0;0.0;0.0
5210208.0;Iporá;1992;27160;1288.74;0.0;0.0
5210307.0;Israelândia;1992;2969;140.88;0.0;0.0
5210406.0;Itaberaí;1992;22250;1055.76;0.0;0.0
5210562.0;Itaguari;1992;3629;172.2;0.0;0.0
5210604.0;Itaguaru;1992;5708;270.84;0.0;0.0
5210802.0;Itajá;1992;5486;260.31;0.0;0.0
5210901.0;Itapaci;1992;11573;549.14;0.0;0.0
5211008.0;Itapirapuã;1992;8055;382.21;0.0;0.0
5211206.0;Itapuranga;1992;25775;1223.02;0.0;0.0
5211305.0;Itarumã;1992;5318;252.34;0.0;0.0
5211404.0;Itauçu;1992;7693;365.03;0.0;0.0
5211503.0;Itumbiara;1992;68220;3237.04;0.0;0.0
5211602.0;Ivolândia;1992;2668;126.6;0.0;0.0
5211701.0;Jandaia;1992;5824;276.35;0.0;0.0
5211800.0;Jaraguá;1992;25116;1191.75;0.0;0.0
5211909.0;Jataí;1992;57322;2719.93;0.0;0.0
5212006.0;Jaupaci;1992;2880;136.66;0.0;0.0
5212055.0;Jesúpolis;1992;1862;88.35;0.0;0.0
5212105.0;Joviânia;1992;5918;280.81;0.0;0.0
5212204.0;Jussara;1992;19149;908.62;0.0;0.0
5212253.0;Lagoa Santa;1992;0;0.0;0.0;0.0
5212303.0;Leopoldo de Bulhões;1992;6824;323.8;0.0;0.0
5212501.0;Luziânia;1992;170731;8101.19;0.0;0.0
5212600.0;Mairipotaba;1992;2394;113.6;0.0;0.0
5212709.0;Mambaí;1992;3679;174.57;0.0;0.0
5212808.0;Mara Rosa;1992;14248;676.07;0.0;0.0
5212907.0;Marzagão;1992;1303;61.83;0.0;0.0
5212956.0;Matrinchã;1992;3534;167.69;0.0;0.0
5213004.0;Maurilândia;1992;6722;318.96;0.0;0.0
5213053.0;Mimoso de Goiás;1992;3309;157.01;0.0;0.0
5213087.0;Minaçu;1992;29563;1402.76;0.0;0.0
5213103.0;Mineiros;1992;29023;1377.14;0.0;0.0
5213400.0;Moiporá;1992;1993;94.57;0.0;0.0
5213509.0;Monte Alegre de Goiás;1992;7355;348.99;0.0;0.0
5213707.0;Montes Claros de Goiás;1992;7520;356.82;0.0;0.0
5213756.0;Montividiu;1992;5032;238.77;0.0;0.0
5213772.0;Montividiu do Norte;1992;2182;103.54;0.0;0.0
5213806.0;Morrinhos;1992;29403;1395.17;0.0;0.0
5213855.0;Morro Agudo de Goiás;1992;2237;106.15;0.0;0.0
5213905.0;Mossâmedes;1992;6220;295.14;0.0;0.0
5214002.0;Mozarlândia;1992;9214;437.2;0.0;0.0
5214051.0;Mundo Novo;1992;4930;233.93;0.0;0.0
5214101.0;Mutunópolis;1992;3593;170.49;0.0;0.0
5214408.0;Nazário;1992;5695;270.23;0.0;0.0
5214507.0;Nerópolis;1992;12042;571.39;0.0;0.0
5214606.0;Niquelândia;1992;37302;1769.98;0.0;0.0
5214705.0;Nova América;1992;1725;81.85;0.0;0.0
5214804.0;Nova Aurora;1992;1656;78.58;0.0;0.0
5214838.0;Nova Crixás;1992;10330;490.16;0.0;0.0
5214861.0;Nova Glória;1992;7506;356.16;0.0;0.0
5214879.0;Nova Iguaçu de Goiás;1992;3017;143.16;0.0;0.0
5214903.0;Nova Roma;1992;4307;204.37;0.0;0.0
5215009.0;Nova Veneza;1992;4512;214.09;0.0;0.0
5215207.0;Novo Brasil;1992;4314;204.7;0.0;0.0
5215231.0;Novo Gama;1992;0;0.0;0.0;0.0
5215256.0;Novo Planalto;1992;4067;192.98;0.0;0.0
5215306.0;Orizona;1992;11300;536.19;0.0;0.0
5215405.0;Ouro Verde de Goiás;1992;3878;184.01;0.0;0.0
5215504.0;Ouvidor;1992;3382;160.48;0.0;0.0
5215603.0;Padre Bernardo;1992;15163;719.48;0.0;0.0
5215652.0;Palestina de Goiás;1992;2814;133.52;0.0;0.0
5215702.0;Palmeiras de Goiás;1992;14937;708.76;0.0;0.0
5215801.0;Palmelo;1992;1941;92.1;0.0;0.0
5215900.0;Palminópolis;1992;3213;152.46;0.0;0.0
5216007.0;Panamá;1992;2218;105.24;0.0;0.0
5216304.0;Paranaiguara;1992;6834;324.27;0.0;0.0
5216403.0;Paraúna;1992;8710;413.29;0.0;0.0
5216452.0;Perolândia;1992;1314;62.35;0.0;0.0
5216809.0;Petrolina de Goiás;1992;9580;454.57;0.0;0.0
5216908.0;Pilar de Goiás;1992;4289;203.51;0.0;0.0
5217104.0;Piracanjuba;1992;20269;961.76;0.0;0.0
5217203.0;Piranhas;1992;11711;555.69;0.0;0.0
5217302.0;Pirenópolis;1992;22286;1057.47;0.0;0.0
